"Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years"
"315,43.55481,-81.3889,5,100,0,5,10,0,68,16,75,20,50,2,83,1,86,4,49,-1"
"175,43.26794,-81.193,0,100,0,0,10,0,82,1,100,33,64,2,94,21,100,13,69,2"
"180,43.36809,-80.8394,0,100,0,0,5,0,67,7,50,-15,54,-6,75,-5,62,-18,50,40"
"560,43.4736,-81.1857,1,100,2,2,9,0,73,-7,76,3,55,-8,86,4,77,9,62,7"
"250,44.57298,-80.9294,5,100,0,0,10,0,47,5,73,19,53,30,65,1,59,-5,18,-5"
"150,44.65046,-81.2568,0,100,0,0,10,0,87,40,80,21,67,32,94,16,88,10,56,39"
"365,44.48145,-81.1525,0,100,0,0,15,0,77,-14,72,-16,77,-2,89,5,93,4,39,-24"
"500,44.55342,-80.4621,5,100,5,0,10,0,82,-5,77,-5,77,5,94,-1,89,5,72,17"
"195,44.32033,-80.6452,10,100,0,0,10,0,80,11,72,3,64,2,79,14,86,1,79,59"
"175,44.98479,-81.2519,0,100,0,0,15,0,76,7,67,-21,52,-17,83,-10,71,8,46,27"
"285,44.30696,-81.0976,0,100,0,0,20,0,63,3,57,-17,43,-9,53,-9,47,3,25,-9"
"180,44.06142,-80.7596,0,100,0,0,15,0,73,5,86,18,59,14,69,-23,85,8,38,-8"
"235,44.16484,-81.6435,10,100,0,0,10,0,59,-3,45,-20,38,-16,81,-4,81,-11,33,-21"
"275,44.49686,-81.3679,0,100,0,0,10,0,66,2,66,4,47,6,67,2,67,2,29,16"
"290,44.15626,-81.0223,0,100,0,0,20,0,77,23,67,21,63,6,58,6,58,7,25,-6"
"325,44.63228,-81.1363,0,100,0,0,10,0,81,40,64,30,56,1,90,1,86,23,41,-15"
"495,44.56251,-80.9505,5,100,0,0,20,0,57,-12,65,-12,52,-20,65,26,72,40,33,20"
