"Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years"
"530,43.44244,-79.7582,14,100,5,5,11,0,78,-2,79,-1,75,7,90,8,93,12,57,0"
"335,43.6243,-80.045,5,100,0,0,10,0,79,8,76,11,74,13,86,-1,84,2,59,17"
"195,43.497,-79.662,15,100,5,5,10,0,100,15,100,15,89,0,100,4,100,9,92,18"
"385,43.49439,-79.6935,10,100,5,0,5,0,75,-14,73,-10,77,-8,93,1,98,6,75,1"
"390,43.35937,-79.8424,5,100,0,0,5,0,63,-16,52,-7,41,-18,84,4,81,-2,44,-15"
"830,43.42348,-79.7713,17,99,6,6,6,0,89,1,79,-5,67,-10,98,6,96,9,71,-14"
"455,43.44018,-79.7165,20,100,5,5,10,5,88,-7,80,-18,85,-6,96,0,98,3,88,6"
"260,43.46316,-79.6954,10,100,5,5,15,0,83,-8,72,-14,83,1,74,-12,83,2,22,-26"
"545,43.42251,-79.704,11,99,7,7,10,0,86,7,75,1,76,13,86,9,88,29,79,24"
"290,43.36964,-79.7375,10,100,0,0,10,0,68,-20,40,-48,48,-24,86,3,73,-2,73,12"
"355,43.34737,-79.7808,10,100,5,5,10,0,79,-9,66,-17,48,-23,90,-10,93,0,73,7"
"640,43.53378,-79.8643,16,100,3,2,9,1,81,-6,76,-7,77,-9,87,0,91,12,69,17"
"365,43.3542,-79.7672,10,100,5,5,10,0,93,-4,93,0,89,10,70,-19,65,-19,43,-25"
"370,43.45103,-79.7357,5,100,5,5,10,0,88,2,88,0,81,10,94,2,92,-8,66,-4"
"565,43.37593,-79.8246,6,99,2,2,13,0,93,10,83,-4,74,10,92,8,98,11,71,-2"
"185,43.46591,-79.6565,15,100,10,10,20,0,91,14,82,-1,68,-2,88,-9,92,-1,72,3"
"300,43.44565,-79.7113,35,95,10,10,25,0,70,-16,80,1,50,-5,74,-14,74,-6,43,-5"
"550,43.40582,-79.7853,29,99,5,5,15,1,85,7,75,-5,79,20,88,-5,93,5,62,-2"
"1060,43.39996,-79.8267,51,99,9,9,10,1,89,3,88,-1,70,-8,91,2,93,8,62,17"
"995,43.49625,-79.8613,68,99,10,10,8,0,84,2,85,-4,68,0,91,5,90,2,61,3"
"1095,43.4909,-79.8537,76,100,21,21,7,0,81,7,78,10,74,15,68,-14,82,-6,40,-2"
"290,43.42498,-79.7035,40,95,15,20,15,0,88,15,92,16,68,7,94,1,94,-3,63,-9"
"345,43.53337,-80.0474,10,95,0,5,15,0,88,5,68,-18,72,0,86,-3,84,-7,57,-2"
"1145,43.52311,-79.8494,59,100,8,8,13,0,66,-9,56,-27,52,-14,85,9,93,11,38,-10"
"500,43.37908,-79.813,16,100,3,2,18,1,79,4,71,-2,71,7,90,2,94,10,69,18"
"795,43.42888,-79.7592,58,100,25,26,9,0,79,6,77,2,69,7,89,-2,93,8,82,17"
"615,43.39672,-79.8078,34,97,4,3,8,17,83,-9,88,1,65,-18,92,2,85,-2,76,5"
"810,43.53492,-79.8676,56,99,10,11,8,0,75,-11,73,1,57,-15,81,-9,84,-7,59,9"
"495,43.40123,-79.7102,30,100,5,5,20,0,80,-4,71,-13,69,-12,80,-5,80,-2,49,-6"
"815,43.44276,-79.7637,50,100,19,19,12,0,78,3,71,-6,59,-3,80,-3,85,2,47,-13"
"1085,43.49751,-79.8812,62,99,12,11,8,0,85,7,81,7,64,-4,86,-2,86,-8,49,-3"
"625,43.62676,-79.8813,21,99,2,2,13,5,81,-4,81,-9,78,-2,91,1,96,9,59,-2"
"515,43.47923,-79.6841,49,100,19,18,15,1,69,-4,56,-2,54,-13,86,7,89,16,56,0"
"645,43.38627,-79.8088,18,99,4,4,16,0,77,5,72,0,62,2,85,9,84,15,46,0"
"595,43.37414,-79.7529,15,100,4,4,18,0,77,-1,58,-20,54,-7,89,1,85,5,43,3"
"995,43.51421,-79.838,48,99,6,7,12,0,75,-1,64,-11,66,3,85,2,88,9,45,-11"
"620,43.43198,-79.7418,47,98,13,13,11,1,91,-1,91,3,84,3,91,-1,93,1,57,-8"
"1045,43.5229,-79.8423,59,99,12,12,8,2,84,0,78,2,61,-10,91,4,90,-1,54,-5"
"615,43.50138,-79.6614,56,98,10,11,7,1,92,-1,91,2,78,-4,96,0,96,0,79,16"
"645,43.34496,-79.7701,14,99,4,4,11,1,90,2,94,0,81,-2,96,8,97,8,76,-2"
"680,43.41157,-79.802,35,99,8,8,11,1,89,3,80,-11,80,6,84,5,82,-1,46,1"
"890,43.49959,-79.6977,69,99,22,23,5,1,96,8,93,6,89,5,96,1,97,4,75,-5"
"240,43.42752,-79.9364,20,100,0,0,10,0,75,-18,80,0,75,-5,80,-10,68,-9,42,-23"
"565,43.47371,-79.6505,37,100,15,15,13,1,84,-1,84,-1,77,-4,91,2,94,-2,59,-6"
"555,43.63864,-80.032,4,99,1,0,25,0,64,-6,67,15,73,17,69,8,75,10,19,-8"
"440,43.46311,-79.6991,50,100,15,20,10,0,50,-17,36,-38,28,-5,63,-14,66,-14,39,3"
"990,43.47354,-79.7435,73,99,22,23,10,1,88,-1,87,-1,81,-1,91,2,93,3,61,-4"
"485,43.40192,-79.7971,40,95,5,5,10,0,90,-2,85,3,79,1,88,-1,88,-1,45,-5"
"1010,43.48768,-79.871,62,99,11,11,10,0,84,-1,81,-8,75,-5,85,2,87,4,41,-7"
"565,43.43208,-79.7762,50,99,10,11,7,1,83,-2,66,-13,70,-7,87,6,92,2,40,-10"
"815,43.43417,-79.7289,52,99,15,15,4,25,97,2,91,4,88,-8,89,1,94,1,73,13"
"490,43.36769,-79.7465,20,100,0,0,5,5,92,-2,86,0,72,-5,98,6,98,10,70,5"
"805,43.4757,-79.7146,57,100,31,32,8,0,90,14,86,8,76,-2,87,-1,90,2,61,-7"
"600,43.46501,-79.7222,49,99,15,15,11,0,83,0,78,4,73,7,92,-1,89,-6,55,-11"
"465,43.35804,-79.8275,15,100,5,5,15,0,81,4,68,-5,74,17,88,12,88,5,41,3"
"400,43.51383,-79.8604,30,100,0,0,20,25,63,-17,42,-36,63,-15,67,-16,70,-14,43,-14"
"465,43.63103,-79.8939,10,100,0,0,20,0,73,-6,73,-2,69,-3,71,-6,70,-7,48,-11"
"310,43.36889,-79.8071,20,100,5,5,15,0,75,-8,65,-6,55,-16,81,7,88,20,40,9"
"300,43.3469,-79.7887,20,100,10,10,30,0,68,14,68,30,53,32,67,-17,62,-19,29,-10"
"1085,43.50848,-79.8536,57,98,7,7,10,0,75,-3,71,3,60,-1,89,-1,92,0,61,-1"
"795,43.44849,-79.7362,49,99,17,17,11,0,84,0,67,-7,64,-11,87,1,83,-5,61,-10"
"675,43.2237,-79.896,15,100,5,5,10,0,80,1,73,0,67,0,83,15,83,10,52,20"
"255,43.22758,-79.8416,30,100,15,15,5,0,86,16,76,13,72,20,83,-10,97,15,34,5"
"170,43.25739,-79.9208,20,100,15,20,10,0,88,13,73,3,73,-2,100,19,94,13,39,8"
"415,43.19918,-79.8967,5,100,5,0,10,0,83,-6,87,6,73,-10,83,-1,88,-10,74,1"
"490,43.3438,-79.9143,5,100,0,0,10,0,94,9,98,13,77,16,88,9,94,8,57,24"
"385,43.25009,-79.8222,5,100,5,0,20,0,50,-12,46,-19,48,-11,74,26,71,43,32,24"
"390,43.2203,-79.9453,10,100,10,10,5,0,97,2,94,1,85,-4,100,10,98,5,87,29"
"550,43.2095,-79.9541,10,99,4,4,8,1,84,0,75,-17,67,-9,85,4,88,0,58,9"
"355,43.2086,-79.6822,5,100,0,0,5,0,100,24,100,15,89,21,81,-4,95,1,30,-17"
"300,43.22246,-79.8578,20,100,5,5,10,0,50,17,47,10,36,3,72,0,78,6,39,-3"
"250,43.404,-79.9945,0,100,0,0,10,0,100,19,100,12,90,9,100,11,96,11,72,28"
"295,43.22121,-79.71,5,100,5,5,10,0,97,14,91,15,75,20,85,3,85,-1,40,-28"
"735,43.1736,-79.7703,15,99,5,5,7,0,89,-9,95,-5,84,-6,89,4,94,-3,57,-11"
"240,43.23295,-79.9131,20,100,10,10,15,0,85,-10,90,-5,75,-14,67,-16,79,-14,25,-20"
"190,43.24113,-79.8495,15,100,15,15,10,0,67,-21,57,-5,48,-8,80,1,85,14,45,31"
"315,43.22982,-79.7459,30,100,15,15,15,0,81,4,72,-5,69,0,75,-6,80,-4,38,3"
"270,43.21853,-79.9882,0,95,0,0,5,0,94,-3,97,3,87,-2,91,-4,94,-1,71,22"
"305,43.25534,-79.8358,10,100,10,10,20,0,59,5,49,-16,39,-7,68,-12,71,-5,23,-37"
"150,43.21265,-79.8288,10,100,5,0,30,0,73,-10,73,-19,64,-3,56,-26,44,-32,19,13"
"225,43.27093,-79.9557,5,100,0,0,10,0,85,-3,85,-11,70,-10,95,10,95,16,64,19"
"280,43.2589,-79.9728,5,100,0,5,10,0,94,9,81,-7,68,-17,93,13,83,-2,62,-8"
"285,43.21443,-79.7153,10,100,0,0,10,0,71,-5,76,-14,62,-4,97,16,89,5,40,-31"
"460,43.22496,-79.7681,10,100,0,5,10,0,77,17,65,0,50,5,74,-10,83,8,36,-1"
"565,43.23369,-79.7938,12,99,4,4,10,0,84,0,72,-12,55,-20,64,-2,79,6,36,-16"
"410,43.22,-79.7323,10,100,5,5,10,0,88,1,79,-18,79,-3,84,1,90,-7,61,11"
"545,43.21128,-79.6431,5,100,3,3,6,1,86,-3,84,-7,72,-2,88,-3,94,3,52,6"
"370,43.19166,-79.7839,10,100,10,10,10,0,95,17,95,14,77,14,78,10,81,4,33,-8"
"400,43.2087,-79.9889,5,100,0,0,10,0,85,11,76,-9,64,-10,90,4,90,0,58,-9"
"365,43.2027,-79.8685,20,100,0,0,10,0,69,-16,69,-7,56,-18,75,-19,86,7,39,0"
"365,43.23873,-79.8198,0,100,5,5,15,0,78,4,88,12,66,0,77,-7,83,7,51,7"
"420,43.25231,-79.8873,15,100,10,10,10,0,83,7,83,15,60,-1,91,3,76,-9,48,-17"
"270,43.20157,-79.8409,10,100,10,10,20,0,91,3,83,-9,74,-11,90,-5,87,-8,60,25"
"325,43.26953,-79.8594,15,100,10,5,10,0,65,-26,74,-23,53,-25,74,-14,70,-18,33,-25"
"375,43.21844,-79.7954,20,95,5,10,10,0,69,-9,59,-17,41,-32,82,-1,75,-11,35,-18"
"375,43.2236,-79.8287,10,100,10,10,10,0,81,-4,69,-14,46,-26,77,1,87,11,33,-14"
"445,43.2042,-79.8786,10,100,5,5,10,0,72,4,70,-2,66,6,89,0,94,1,49,-1"
"515,43.1782,-79.7861,13,100,6,6,6,0,90,2,84,-10,76,4,92,6,97,11,60,13"
"290,43.21608,-79.7464,10,100,5,0,10,0,93,15,93,2,81,9,85,7,82,-2,56,-6"
"670,43.11723,-79.8141,4,100,1,1,11,0,75,-15,80,-4,69,0,81,13,84,16,48,15"
"455,43.22433,-79.8748,40,100,10,10,15,0,66,5,60,-1,60,5,62,-9,75,-1,27,-29"
"335,43.25251,-79.8559,15,100,10,10,25,0,46,-10,61,-2,34,-10,77,2,80,20,32,17"
"430,43.1996,-79.7966,5,100,0,0,10,0,89,-6,96,1,79,-16,97,0,100,3,68,21"
"220,43.23784,-79.9261,15,100,5,0,10,0,88,-5,92,6,75,-8,90,0,87,1,71,-5"
"330,43.20753,-79.8559,20,100,5,5,5,0,67,3,67,-5,48,-1,92,14,90,12,58,19"
"475,43.33078,-79.8937,5,100,0,0,5,0,84,-2,94,11,74,11,79,-9,88,-3,54,-13"
"685,43.2059,-79.916,9,100,3,3,7,0,81,5,70,0,55,-11,84,0,88,1,53,6"
"300,43.2226,-79.9225,5,100,0,0,10,0,79,5,62,-19,62,3,92,3,92,3,76,6"
"580,43.23739,-79.875,21,100,7,6,6,0,83,-2,63,-13,58,-7,84,7,75,1,39,-3"
"345,43.24548,-79.8373,10,100,0,0,15,0,56,4,50,-5,50,26,61,1,64,11,31,-2"
"470,43.33406,-79.9098,10,100,0,5,10,0,89,13,86,33,63,1,78,-14,86,5,50,-9"
"460,43.22177,-79.9534,35,100,15,15,10,0,72,1,51,-22,64,5,84,-8,88,-2,59,-15"
"300,43.4047,-79.9962,5,100,0,0,15,5,100,5,80,-5,70,-8,83,-7,81,-5,32,-6"
"860,43.12583,-79.8116,12,99,1,1,11,0,78,-2,75,4,66,10,77,-5,73,-6,28,-10"
"315,43.26784,-79.862,25,100,10,10,10,0,52,11,34,-6,26,0,50,-5,54,5,20,-2"
"335,43.20136,-79.7953,35,100,5,5,20,0,69,10,65,-2,48,7,72,-9,68,-4,33,-11"
"410,43.25708,-79.8464,45,100,15,15,20,0,42,8,25,-19,18,-9,39,2,47,13,6,-6"
"190,43.20333,-79.8424,40,100,0,0,10,0,47,-12,53,5,33,-8,67,26,59,28,15,9"
"360,43.23854,-79.9062,30,100,10,10,15,0,62,2,60,0,43,10,68,15,71,10,27,-4"
"375,43.2577,-79.8604,60,95,10,10,15,0,47,-1,37,-11,25,-3,56,6,53,-2,25,4"
"295,43.26938,-79.9582,5,100,5,0,10,5,78,0,48,-30,57,-7,85,1,87,9,43,-10"
"200,43.35867,-79.9322,15,100,5,5,20,0,50,-42,40,-45,70,8,93,16,88,16,32,-8"
"370,43.22549,-79.8512,20,100,5,10,20,0,65,14,69,22,51,14,70,18,86,36,23,5"
"435,43.18143,-79.7887,30,100,0,0,10,0,79,4,77,2,74,3,76,1,77,5,39,11"
"295,43.24135,-79.8561,10,100,5,0,15,0,54,26,15,-17,41,15,58,7,58,11,15,-5"
"305,43.22309,-79.9197,30,100,10,10,10,0,58,-11,56,-19,42,-19,74,-12,82,2,53,10"
"580,43.3286,-79.9085,11,99,2,2,12,2,77,-12,62,-19,39,-32,92,7,90,9,43,3"
"305,43.20279,-79.8786,35,100,0,0,10,0,63,4,53,-8,35,-7,69,-3,75,12,29,-6"
"210,43.26341,-79.8756,65,100,15,20,35,0,59,11,75,23,34,-1,44,15,59,18,19,9"
"360,43.23057,-79.8314,15,100,10,10,10,0,59,-9,32,-29,22,-8,57,-20,51,-13,25,-16"
"285,43.23955,-79.7784,25,100,5,5,25,0,61,12,35,-22,28,-11,48,-25,29,-38,14,-18"
"340,43.22033,-79.8272,15,100,5,5,15,0,62,1,54,-18,41,2,59,-19,55,-26,14,-36"
"220,43.19156,-79.8066,45,100,15,10,10,0,78,19,73,19,64,15,69,-21,65,-23,26,-20"
"380,43.232,-79.7555,75,100,25,25,10,0,61,5,61,9,52,22,67,-9,77,-1,33,-30"
"545,43.21625,-79.8484,25,99,3,3,11,0,56,0,45,3,35,-4,69,2,71,16,24,0"
"225,43.21209,-79.8299,20,100,0,0,15,0,50,-17,41,-21,32,-4,77,18,77,10,13,-25"
"260,43.24319,-79.8196,10,100,10,5,20,0,38,2,35,1,28,12,47,-15,51,3,11,-1"
"375,43.18932,-79.7911,30,100,5,5,20,0,70,-1,57,-11,50,-4,78,15,72,9,57,23"
"295,43.16085,-79.925,5,100,0,0,10,0,64,9,59,-9,64,25,73,11,80,13,27,1"
"405,43.22986,-79.8775,25,100,0,0,5,0,81,-12,62,-19,57,-9,88,0,88,0,48,-10"
"310,43.2199,-79.8705,40,100,10,10,20,0,66,11,68,19,54,5,62,-14,59,-9,32,13"
"385,43.25205,-79.8325,10,100,5,5,15,0,42,-10,38,-14,25,-9,41,-17,42,-16,5,-10"
"385,43.24619,-79.8134,10,100,5,5,15,0,57,3,73,12,33,-5,60,-14,48,-12,13,-12"
"385,43.24841,-79.8659,40,100,20,25,10,0,53,17,40,3,22,7,59,11,56,13,33,24"
"280,43.24137,-79.873,30,100,10,15,15,0,68,-6,68,-8,45,-20,55,-13,62,-2,29,11"
"565,43.22184,-79.9101,33,100,4,3,11,1,61,2,55,-7,45,-3,90,-2,92,-3,63,-3"
"380,43.1937,-79.8731,35,100,10,10,10,0,73,10,58,-9,55,16,65,-23,68,-13,49,0"
"290,43.22451,-79.8793,50,100,5,5,10,0,66,2,53,-2,57,5,77,10,77,15,37,4"
"310,43.21792,-79.7878,30,100,10,10,20,0,76,17,73,21,51,17,58,-5,72,2,12,-14"
"475,43.25796,-79.9793,5,100,5,0,10,5,74,-8,56,-24,54,-14,98,5,98,13,69,3"
"270,43.21716,-79.7278,40,100,5,5,10,0,64,-13,52,-28,52,-22,82,-2,72,-12,36,-17"
"235,43.18117,-79.7335,30,100,0,0,10,0,66,16,69,23,56,29,79,-10,76,-1,48,11"
"405,43.19781,-79.8484,35,100,0,5,10,0,83,29,79,19,55,9,60,-15,73,8,19,-12"
"420,43.21273,-79.9376,55,100,10,10,10,0,74,-7,65,-16,67,-14,82,-2,86,2,54,7"
"265,43.23217,-79.7972,10,100,0,0,20,0,75,32,79,6,29,2,69,6,71,9,44,23"
"500,43.24142,-79.8032,11,100,3,3,18,0,58,18,47,2,32,1,68,10,69,20,31,10"
"605,43.21387,-79.6594,25,99,3,3,11,1,69,-5,60,-8,53,-11,86,6,88,11,53,-7"
"120,43.93428,-77.1522,0,100,0,0,5,0,74,7,68,10,53,20,82,13,82,13,27,-17"
"375,44.12679,-77.4769,0,100,0,0,15,0,50,-18,42,-14,35,-17,82,-6,78,-5,41,-17"
"240,43.95251,-77.3467,0,100,0,0,10,0,85,8,58,-15,62,0,93,23,90,12,63,15"
"175,44.19925,-77.0486,0,100,0,0,25,0,21,-39,21,-29,21,-29,41,-23,45,-19,23,-13"
"380,44.25457,-77.4379,0,100,0,0,25,0,74,-7,79,2,57,-8,90,7,86,23,41,-10"
"295,44.20408,-77.5989,0,100,0,0,15,0,49,-11,54,1,31,-9,61,21,54,14,21,14"
"675,44.24096,-77.3847,5,100,1,1,14,0,72,3,63,-11,63,9,80,18,79,10,36,5"
"600,44.17446,-77.3562,3,100,1,1,19,0,82,9,66,-7,57,-14,76,0,73,2,43,16"
"215,44.06829,-77.4201,0,100,0,0,15,0,53,-17,26,-44,21,-39,95,18,71,-6,43,20"
"160,44.5599,-77.4929,0,100,0,0,20,0,85,18,85,27,54,21,81,28,56,-4,19,-21"
"330,44.17731,-77.4043,0,100,0,0,20,0,42,-10,55,-21,29,-10,87,5,83,15,33,7"
"370,44.18017,-77.3841,0,100,0,0,35,0,57,35,47,28,37,30,62,15,40,9,8,-11"
"225,44.16521,-77.3646,0,100,0,0,30,0,62,24,69,44,38,7,58,38,58,48,17,17"
"100,44.10616,-77.2177,0,100,5,5,15,0,64,-11,73,-27,73,6,33,-42,47,-23,13,-17"
"670,44.29373,-77.553,1,100,0,0,15,0,74,10,51,1,51,8,70,8,66,9,36,0"
"275,44.15735,-77.424,5,100,0,0,20,0,72,-2,64,-17,68,-10,68,1,68,-2,16,-21"
"345,44.4751,-77.3185,0,100,0,0,20,0,70,15,68,13,62,0,87,11,87,13,47,3"
"330,44.223,-77.2438,0,100,0,0,25,0,56,-10,40,-39,48,-21,54,-24,66,-2,14,-13"
"190,45.05412,-77.8449,0,100,0,0,30,0,28,-18,4,-46,16,-7,61,-11,53,8,18,-17"
"205,43.26431,-81.1399,0,100,0,0,10,0,74,10,70,-16,43,-21,93,-7,100,0,73,13"
"315,43.36857,-80.9793,5,95,0,0,5,0,85,5,82,15,64,-13,86,-14,89,0,60,-10"
"120,43.25478,-81.6143,0,100,0,0,0,0,100,0,100,0,100,0,87,-4,73,-27,73,9"
"225,43.34655,-81.4855,0,100,0,0,5,0,81,-3,81,-8,65,18,92,-2,88,-6,48,-2"
"180,43.87991,-81.308,0,100,0,0,20,0,65,35,47,28,29,-8,53,-25,71,15,18,-15"
"220,43.37882,-80.9919,5,100,0,0,5,0,81,-1,86,4,57,12,84,-12,90,-6,58,-20"
"185,43.35748,-80.9833,5,100,5,0,25,0,81,-9,73,-17,50,-35,78,-10,72,-20,6,-61"
"200,43.42378,-81.6283,0,100,0,0,10,0,82,17,76,21,53,-7,88,18,81,11,50,30"
"180,43.55225,-81.3915,10,95,0,0,10,0,89,3,100,21,67,-4,94,22,94,11,53,9"
"220,43.61556,-81.5284,0,100,0,0,25,0,96,10,84,-6,48,-7,96,5,92,14,31,-8"
"310,43.718,-80.9509,5,100,0,0,10,0,71,16,94,23,60,8,92,4,92,4,77,36"
"315,43.73322,-81.7076,5,100,0,0,10,0,55,1,30,-6,30,-2,88,12,73,14,23,-9"
"125,43.47667,-81.0749,0,100,0,0,20,0,93,20,79,6,71,4,83,-17,83,-17,50,-5"
"475,46.51057,-84.279,0,100,0,0,20,0,76,-4,64,-11,56,3,74,7,79,19,43,16"
"185,46.54157,-84.3875,0,100,0,0,30,0,77,-19,62,-21,42,-36,78,-15,74,-22,43,-16"
"175,46.38281,-82.6602,0,95,0,0,30,0,62,-18,31,-59,15,-55,86,0,82,-4,32,18"
"265,46.541,-84.3723,0,100,0,0,20,0,71,-4,46,-33,58,-17,75,-20,81,-3,41,-21"
"140,46.37151,-82.65,0,100,0,0,10,0,40,-6,24,-22,8,-21,82,-11,76,-17,18,5"
"235,46.260606,-81.773804,0,100,0,0,20,0,59,19,41,-4,26,-9,72,3,56,-13,11,-12"
"275,46.53255,-84.3976,0,100,0,0,20,0,85,-4,88,-1,69,-8,100,0,100,0,58,-14"
"130,46.2144,-82.0787,0,100,0,0,30,0,71,26,79,34,43,-2,87,14,73,9,20,2"
"365,46.52245,-84.2669,0,100,5,5,15,0,93,-7,91,-3,84,-4,100,9,100,13,75,45"
"345,46.53058,-84.3096,0,100,0,0,25,0,86,14,67,11,55,5,82,-12,92,-2,53,9"
"115,44.75922,-78.0889,0,100,0,0,15,0,89,-1,84,-6,53,-27,100,10,100,0,77,-3"
"415,44.04299,-77.7328,5,100,0,5,20,0,75,-5,77,4,50,-4,81,0,81,8,43,19"
"615,43.96568,-78.1536,4,100,3,3,14,0,78,2,65,-16,54,-18,89,8,88,7,55,4"
"140,43.91492,-78.6897,5,100,0,0,10,0,78,7,78,11,61,9,71,-14,86,-6,48,-6"
"595,43.93102,-78.6974,3,100,1,2,13,0,78,14,73,12,62,3,81,-3,81,12,50,12"
"420,44.37967,-78.3815,0,100,5,0,15,0,88,18,76,11,68,18,80,-1,77,2,54,12"
"100,44.00359,-77.8802,0,100,0,0,25,0,67,0,67,0,58,16,85,43,69,36,31,-2"
"385,43.91443,-78.7867,10,95,0,5,20,0,81,5,66,-12,59,-3,68,-5,68,-1,22,-3"
"300,43.90528,-78.7928,5,100,0,0,15,0,74,1,61,-20,58,-7,87,6,81,0,77,16"
"430,43.89844,-78.7012,5,100,0,0,15,0,73,5,64,-2,51,1,70,1,70,-5,22,-17"
"185,43.98653,-78.0217,0,100,0,0,10,0,87,7,52,-20,61,21,67,7,72,12,22,-28"
"380,43.93252,-78.6825,0,100,0,0,10,0,64,-10,42,-15,33,-17,73,8,67,9,18,-7"
"190,44.43647,-77.8794,0,100,0,0,20,0,76,14,38,-16,52,6,68,-6,68,33,29,12"
"150,44.31817,-78.3367,10,100,10,10,30,0,64,24,57,10,43,10,50,0,54,0,4,-25"
"175,44.30707,-77.791,0,100,5,0,20,0,81,5,56,-9,69,28,73,-9,69,-8,27,0"
"560,44.28744,-78.3772,5,100,1,2,20,0,91,19,88,12,88,25,80,2,82,15,57,13"
"360,43.92419,-78.6741,5,100,0,0,15,0,63,-2,51,-12,47,6,73,2,62,-16,22,-11"
"210,44.312,-77.8014,0,100,0,0,20,0,64,-19,50,-29,54,-17,72,-4,69,8,45,21"
"200,43.90633,-78.7812,10,100,0,0,20,0,90,24,76,14,59,-3,75,-3,78,12,28,-11"
"380,44.1555,-78.4497,5,100,0,0,10,0,71,-2,47,-24,48,-4,83,13,76,15,39,-13"
"505,44.09731,-77.6162,1,100,1,0,16,0,76,9,76,14,66,9,89,7,93,11,41,10"
"325,44.23823,-78.1819,0,100,0,0,20,0,89,-8,87,-7,76,2,92,13,90,27,54,25"
"245,44.09688,-77.9333,0,100,0,0,10,0,63,-30,58,-28,58,-25,82,-3,91,9,50,-23"
"225,44.37965,-77.9739,0,100,0,0,20,0,66,22,60,16,57,15,66,-2,77,20,20,-5"
"225,44.2038,-77.8817,0,100,0,0,10,0,75,3,85,24,80,24,86,8,91,17,41,6"
"425,44.29754,-78.3353,5,100,5,5,20,0,70,8,56,-6,52,7,79,11,75,26,48,20"
"175,44.32135,-78.3243,0,100,0,0,20,0,78,3,61,-20,52,-17,58,-5,58,-9,8,-32"
"290,44.30515,-78.3384,10,95,10,5,20,0,52,13,45,1,52,8,71,0,68,-3,26,-9"
"125,44.18851,-78.0597,0,100,0,0,15,0,35,-9,29,-15,29,-2,67,3,58,-6,17,10"
"200,43.91034,-78.8082,5,100,0,0,10,0,86,16,86,26,71,31,90,-2,86,3,57,24"
"150,44.0656,-77.6807,0,100,0,5,20,0,79,26,57,4,64,26,82,32,91,47,55,49"
"185,44.06399,-77.7422,0,100,0,0,30,0,71,-4,71,0,61,32,73,-13,59,-20,50,0"
"200,44.20184,-77.6307,0,100,0,0,15,0,92,49,71,4,67,19,80,-11,75,20,35,8"
"350,43.97775,-78.1929,0,100,0,0,30,0,70,1,81,28,56,18,56,-6,64,5,31,9"
"265,43.91227,-78.6789,0,100,0,0,20,0,77,2,77,-5,67,-21,65,-13,79,12,18,-15"
"265,43.902,-78.6918,0,100,0,5,20,0,72,37,62,15,41,6,83,-1,86,18,41,-5"
"415,44.30454,-78.3527,10,100,0,0,5,0,75,-2,81,9,56,-10,90,-3,80,-4,55,-13"
"180,51.05949,-93.74,0,100,0,0,5,0,92,11,83,21,83,27,94,0,94,22,65,9"
"235,49.79332,-92.8375,0,100,0,0,10,0,77,-7,71,-13,57,-14,86,10,77,-1,71,6"
"320,49.7736,-92.8405,0,100,0,0,15,0,59,9,59,-1,56,4,83,-1,74,-7,59,6"
"215,50.10714,-91.9099,0,100,0,0,15,0,32,-18,27,-11,32,0,44,5,40,1,23,12"
"220,48.43859,-89.2505,0,100,0,0,20,0,24,-18,32,-15,16,-8,38,2,41,-3,7,4"
"155,50.29654,-89.0477,0,100,0,0,10,0,21,-29,29,-29,14,-3,29,-29,36,-31,21,-4"
"185,48.44817,-89.2425,5,100,0,0,15,0,52,-23,52,-17,57,13,74,-6,53,-20,11,-22"
"455,48.46482,-89.187,5,100,0,0,5,0,69,12,42,-11,39,16,80,-4,84,2,29,-13"
"180,48.41489,-89.4866,0,100,0,0,15,0,79,12,84,1,68,18,90,-10,95,-5,50,-43"
"695,48.43421,-89.2457,7,99,3,3,10,0,68,7,59,7,55,8,83,11,78,10,36,-11"
"235,48.47303,-89.3095,0,100,0,0,5,0,100,20,86,26,67,3,82,-12,88,-1,24,-26"
"180,48.56337,-89.3605,0,100,0,0,5,0,69,-4,75,16,31,-14,100,42,100,33,50,42"
"195,48.40229,-89.6158,0,100,0,0,0,0,84,24,68,-2,47,-3,94,35,88,29,47,6"
"135,48.38739,-89.2493,0,100,0,0,30,0,94,-6,88,-12,75,-14,64,-4,50,-27,7,-29"
"315,48.31608,-89.3602,0,100,0,0,10,0,86,2,80,8,54,-34,85,3,80,-5,41,-14"
